Model,Split,Class,Box(P,R,mAP50,mAP50-95)
yolov8n.pt,train,all,0.7638339394030038,0.6713461256671133,0.7460875906925628,0.4112913410338502
yolov8n.pt,train,apple,0.7638339394030038,0.6713461256671133,0.7460875906925628,0.4112913410338502
yolov8n.pt,val,all,0.7642694975812575,0.671062271062271,0.7456230755594597,0.4111941104131399
yolov8n.pt,val,apple,0.7642694975812575,0.671062271062271,0.7456230755594597,0.4111941104131399
yolov8n.pt,test,all,0.7642694975812575,0.671062271062271,0.7456230755594597,0.4111941104131399
yolov8n.pt,test,apple,0.7642694975812575,0.671062271062271,0.7456230755594597,0.4111941104131399
yolov8s.pt,train,all,0.8080558618946984,0.6757690263863103,0.772848625452812,0.4428897225357098
yolov8s.pt,train,apple,0.8080558618946984,0.6757690263863103,0.772848625452812,0.4428897225357098
yolov8s.pt,val,all,0.8081598196263198,0.6757834757834758,0.7733849794222394,0.4422877705304486
yolov8s.pt,val,apple,0.8081598196263198,0.6757834757834758,0.7733849794222394,0.4422877705304486
yolov8s.pt,test,all,0.8081598196263198,0.6757834757834758,0.7733849794222394,0.4422877705304486
yolov8s.pt,test,apple,0.8081598196263198,0.6757834757834758,0.7733849794222394,0.4422877705304486
yolov8m.pt,train,all,0.8053110873138954,0.6952380952380952,0.7798026117900718,0.4434424995739732
yolov8m.pt,train,apple,0.8053110873138954,0.6952380952380952,0.7798026117900718,0.4434424995739732
yolov8m.pt,val,all,0.8059957653781262,0.6959706959706959,0.7806284051860504,0.4437192198381721
yolov8m.pt,val,apple,0.8059957653781262,0.6959706959706959,0.7806284051860504,0.4437192198381721
yolov8m.pt,test,all,0.8059957653781262,0.6959706959706959,0.7806284051860504,0.4437192198381721
yolov8m.pt,test,apple,0.8059957653781262,0.6959706959706959,0.7806284051860504,0.4437192198381721
yolov8l.pt,train,all,0.8139791320905279,0.7037037037037037,0.787919031104088,0.4437743832737307
yolov8l.pt,train,apple,0.8139791320905279,0.7037037037037037,0.787919031104088,0.4437743832737307
yolov8l.pt,val,all,0.8145746446872245,0.7031339031339031,0.7879529801126827,0.4440104320756268
yolov8l.pt,val,apple,0.8145746446872245,0.7031339031339031,0.7879529801126827,0.4440104320756268
yolov8l.pt,test,all,0.8145746446872245,0.7031339031339031,0.7879529801126827,0.4440104320756268
yolov8l.pt,test,apple,0.8145746446872245,0.7031339031339031,0.7879529801126827,0.4440104320756268
yolov8x.pt,train,all,0.8042361531376527,0.6945642698729119,0.7798042708216997,0.4547327337388011
yolov8x.pt,train,apple,0.8042361531376527,0.6945642698729119,0.7798042708216997,0.4547327337388011
yolov8x.pt,val,all,0.8045935624030621,0.6936914936914937,0.7791685501546955,0.4543389667043296
yolov8x.pt,val,apple,0.8045935624030621,0.6936914936914937,0.7791685501546955,0.4543389667043296
yolov8x.pt,test,all,0.8045935624030621,0.6936914936914937,0.7791685501546955,0.4543389667043296
yolov8x.pt,test,apple,0.8045935624030621,0.6936914936914937,0.7791685501546955,0.4543389667043296
yolov5n.pt,train,all,0.7719501920188122,0.6542938542938543,0.7480116376936343,0.4182123843624024
yolov5n.pt,train,apple,0.7719501920188122,0.6542938542938543,0.7480116376936343,0.4182123843624024
yolov5n.pt,val,all,0.7728834020447397,0.6542893320671102,0.747417689902283,0.4175004545845001
yolov5n.pt,val,apple,0.7728834020447397,0.6542893320671102,0.747417689902283,0.4175004545845001
yolov5n.pt,test,all,0.7728834020447397,0.6542893320671102,0.747417689902283,0.4175004545845001
yolov5n.pt,test,apple,0.7728834020447397,0.6542893320671102,0.747417689902283,0.4175004545845001
yolov5s.pt,train,all,0.8005064814409403,0.6853886853886854,0.775406993971698,0.448699734173121
yolov5s.pt,train,apple,0.8005064814409403,0.6853886853886854,0.775406993971698,0.448699734173121
yolov5s.pt,val,all,0.8009102039518928,0.6840862840862841,0.7754428181960489,0.4480986689536639
yolov5s.pt,val,apple,0.8009102039518928,0.6840862840862841,0.7754428181960489,0.4480986689536639
yolov5s.pt,test,all,0.8009102039518928,0.6840862840862841,0.7754428181960489,0.4480986689536639
yolov5s.pt,test,apple,0.8009102039518928,0.6840862840862841,0.7754428181960489,0.4480986689536639
yolov8n.pt,train,all,0.781213442236883,0.7045414156525268,0.7978638922661178,0.4814498986754038
yolov8n.pt,train,apple,0.781213442236883,0.7045414156525268,0.7978638922661178,0.4814498986754038
