Model,Split,Class,Box(P,R,mAP50,mAP50-95)
yolov8m.pt,train,all,0.9374742443578694,0.9207894311520907,0.9530579534487392,0.8131249082140722
yolov8m.pt,train,cat-Abyssinian,0.9333327018710013,1.0,0.9922222222222222,0.9067869408369409
yolov8m.pt,train,cat-Bengal,0.9051783950647901,0.7344695869217898,0.8612219373219372,0.7651749983817775
yolov8m.pt,train,cat-Birman,0.9608913602907597,0.9453609303459154,0.9863846153846155,0.8627821450455109
yolov8m.pt,train,cat-Bombay,1.0,0.9474102036308609,0.995,0.8831267418546366
yolov8m.pt,train,cat-British_Shorthair,0.9547945199596851,1.0,0.995,0.8672060947824105
yolov8m.pt,train,cat-Egyptian_Mau,0.8331322606727574,0.8333333333333334,0.8808322580645163,0.7999181157756735
yolov8m.pt,train,cat-Maine_Coon,0.9801498411704709,1.0,0.995,0.8610496415343916
yolov8m.pt,train,cat-Persian,0.9355310225226975,1.0,0.9610000000000001,0.8330274069407604
yolov8m.pt,train,cat-Ragdoll,0.8968498093108686,0.8700731884532508,0.9592857142857142,0.8477484126984125
yolov8m.pt,train,cat-Russian_Blue,0.958083009665771,0.8793008205963672,0.9882417582417584,0.8765790999609268
yolov8m.pt,train,cat-Siamese,0.9514323010174645,0.9800783213667548,0.9926190476190475,0.882023845671872
yolov8m.pt,train,cat-Sphynx,0.9791699095166178,1.0,0.995,0.8468164731182796
yolov8m.pt,train,dog-american_bulldog,0.7949783116449783,0.9236855903522571,0.9016461412151067,0.7697763454108907
yolov8m.pt,train,dog-american_pit_bull_terrier,0.9087367455262689,0.8125,0.8407773910131571,0.70261116328419
yolov8m.pt,train,dog-basset_hound,0.9892794755539853,1.0,0.995,0.882552115558083
yolov8m.pt,train,dog-beagle,0.8586840686368785,0.7154016004042502,0.8227120879120879,0.7094967509157509
yolov8m.pt,train,dog-boxer,0.8382788318272189,0.8,0.8293257772822991,0.6399590158130919
yolov8m.pt,train,dog-chihuahua,0.9273995699362394,0.782608695652174,0.8833347798672155,0.7681390956474166
yolov8m.pt,train,dog-english_cocker_spaniel,0.8313233938325113,1.0,0.9345263157894733,0.7528530394189514
yolov8m.pt,train,dog-english_setter,1.0,0.8261234037384665,0.9744117647058823,0.7895252296722884
yolov8m.pt,train,dog-german_shorthaired,0.9942917665556634,0.8333333333333334,0.9155318181818182,0.7804221552711994
yolov8m.pt,train,dog-great_pyrenees,0.9759779175129687,0.9523809523809523,0.993181818181818,0.8449281784377385
yolov8m.pt,train,dog-havanese,0.9551977875700688,0.8235294117647058,0.9499372586872585,0.7508971943413432
yolov8m.pt,train,dog-japanese_chin,1.0,0.9988274575700902,0.995,0.7558248962842713
yolov8m.pt,train,dog-keeshond,0.9689771324991451,1.0,0.995,0.8458497091144151
yolov8m.pt,train,dog-leonberger,1.0,0.9917290546360313,0.995,0.8578054121891914
yolov8m.pt,train,dog-miniature_pinscher,0.847688239501105,0.9411764705882353,0.8726923076923073,0.7097734965882895
yolov8m.pt,train,dog-newfoundland,0.9175254971232679,0.9230769230769231,0.9629166666666665,0.763695807057057
yolov8m.pt,train,dog-pomeranian,0.9415179745480806,0.9444444444444444,0.99,0.8160107204481791
yolov8m.pt,train,dog-pug,1.0,0.9597834366207816,0.995,0.8757264892623716
yolov8m.pt,train,dog-saint_bernard,1.0,0.9873018998702059,0.995,0.9065578765025825
yolov8m.pt,train,dog-samoyed,1.0,0.9813827051602341,0.995,0.9054213943001443
yolov8m.pt,train,dog-scottish_terrier,0.9629710631889281,0.875,0.9278526645768026,0.7951696995510238
yolov8m.pt,train,dog-shiba_inu,0.9157211422236997,1.0,0.995,0.8552222582972583
yolov8m.pt,train,dog-staffordshire_bull_terrier,0.9103448313057868,0.8833583617549595,0.9557866359883521,0.8679816581119487
yolov8m.pt,train,dog-wheaten_terrier,0.8591081611914945,0.9545454545454546,0.9517032967032968,0.7646072086741265
yolov8m.pt,train,dog-yorkshire_terrier,1.0,0.9689933720855834,0.995,0.7425747771672772
