Model,Split,Class,Box(P,R,mAP50,mAP50-95)
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,all,0.718143562018212,0.6278921854126348,0.683508718232308,0.5179688501432306
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,person,0.8383909049032074,0.7500231975503386,0.8480257032642073,0.6370451563995879
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bicycle,0.7534344556262365,0.5255055480108559,0.6455865061811441,0.4111088023442059
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,car,0.7781620628429201,0.6730969760166841,0.757541695415378,0.5390464936786237
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,motorcycle,0.8094278296207169,0.6948228882833788,0.7984333560625438,0.546541168281877
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,airplane,0.8807107472542707,0.8777097629556646,0.9104727458014761,0.7813120664545519
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bus,0.8064370866790221,0.7950530035335689,0.8615475687324116,0.7584192589112747
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,train,0.85196086025766,0.9052631578947369,0.942435917572858,0.7687431007104705
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,truck,0.6596279318205402,0.533816425120773,0.6215677381454758,0.45957264031817974
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,boat,0.7645939663402898,0.45990566037735847,0.5881005387808834,0.35436380411118185
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,traffic light,0.7101068051070694,0.5331821230874859,0.5966901111210465,0.3334761309182436
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,fire hydrant,0.9444475235073525,0.8416340941093416,0.9254730570651822,0.7539533180881176
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,stop sign,0.8193106279103235,0.7866666666666666,0.8103052172297097,0.7414562204829109
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,parking meter,0.7665450065450066,0.6666666666666666,0.7248056510468301,0.5721277456683396
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bench,0.6497319184642251,0.43795620437956206,0.47372259413669393,0.3465459876262507
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bird,0.7729248268003917,0.49423294153973313,0.6146470852670184,0.4284282358448303
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,cat,0.8869203066578617,0.8861386138613861,0.9309237430636207,0.7912871658299652
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,dog,0.7894968011466517,0.8086027923948413,0.8359273015579,0.7331322347139458
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,horse,0.832504056606457,0.8040210999769823,0.8726964881883209,0.6934104050464566
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,sheep,0.7416233078216901,0.7909604519774012,0.8316758719569329,0.6271938971017823
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,cow,0.8153337455343186,0.7661290322580645,0.8464555778122735,0.664555953035915
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,elephant,0.7964061815593859,0.8968253968253969,0.8864952777294428,0.7289036159223089
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bear,0.8823924534723654,0.9154929577464789,0.9382044040881202,0.8115724325042203
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,zebra,0.8498183472078443,0.8721907214231776,0.9346618592724774,0.7577519638743966
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,giraffe,0.8966216806629675,0.9224137931034483,0.938459836098227,0.7796779243613328
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,backpack,0.5685449187344105,0.3303256535960939,0.3909330711111453,0.2206126599220029
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,umbrella,0.701580015542655,0.6412776412776413,0.7068426242078649,0.5131040077727309
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,handbag,0.5692130587115933,0.35,0.39977528028613596,0.2481226516736823
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,tie,0.7499320564087404,0.5714285714285714,0.6462348902826311,0.4652568548902475
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,suitcase,0.6992580976320814,0.6688963210702341,0.7434047697131305,0.535282615800728
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,frisbee,0.8103416257198915,0.9043478260869565,0.897959469915621,0.7266493041078841
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,skis,0.7331678207180214,0.5020746887966805,0.5884194436381865,0.35298571289768854
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,snowboard,0.7436486871615677,0.5362318840579711,0.5941828975731196,0.4534400497208423
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,sports ball,0.8282799674717418,0.65,0.7053906764621747,0.5048136405239162
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,kite,0.7122856157638766,0.6513761467889908,0.7027603544618329,0.5057008442289495
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,baseball bat,0.7156444614737087,0.6344827586206897,0.6821233479604341,0.46581511683460636
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,baseball glove,0.7820235996365028,0.6554054054054054,0.7127674097725087,0.4465782826749546
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,skateboard,0.8474364638969282,0.8379888268156425,0.8466471955785321,0.6487462479554751
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,surfboard,0.8168624302035924,0.6217228464419475,0.7266565342426696,0.4934987767859546
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,tennis racket,0.8721539074437027,0.8622222222222222,0.8878572709923221,0.6580316884217353
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bottle,0.6831115358046829,0.5863770977295163,0.6429974777326322,0.472263371909816
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,wine glass,0.769120347664409,0.5865102639296188,0.6751182219975983,0.47610027330136295
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,cup,0.6801195317138568,0.6011173184357542,0.6811904391882267,0.526524056950206
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,fork,0.7407980260930523,0.5813953488372093,0.656933098051691,0.5068543771058192
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,knife,0.5944611579156076,0.38461538461538464,0.4727306428448378,0.3133022476136028
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,spoon,0.5025197224150103,0.3794466403162055,0.384646053214993,0.2768498964321112
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bowl,0.6526624578202251,0.6003210272873194,0.643694949925275,0.5098869922267709
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,banana,0.5899445109766671,0.34324324324324323,0.43855150631209144,0.3032861742584254
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,apple,0.5031049482662385,0.3305084745762712,0.35858908993672467,0.2578125653386814
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,sandwich,0.5964063738265225,0.5310734463276836,0.5842023372658647,0.4621498799044897
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,orange,0.5736600978316193,0.45964912280701753,0.4486329594010249,0.3505890845047394
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,broccoli,0.5834094838159879,0.3815303398636732,0.44312212450434063,0.2697159350651327
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,carrot,0.38543463132249484,0.3780821917808219,0.35852996255579545,0.2386794503786005
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,hot dog,0.6887805190701607,0.536,0.5969101612637261,0.4686319641488182
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,pizza,0.7602500240005596,0.7147887323943662,0.7860584871128575,0.6188327125798796
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,donut,0.6654764064246563,0.5762195121951219,0.6440367632272703,0.5252910798009647
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,cake,0.6462245572964218,0.5774578097158742,0.6336604678807438,0.4496032138648502
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,chair,0.659878174865172,0.5115965364412569,0.5858881858145657,0.406799589803438
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,couch,0.679713337244173,0.5938697318007663,0.6817978069393629,0.5361611186012468
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,potted plant,0.6173722952246442,0.5380116959064327,0.5547508691716954,0.35378161523791235
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,bed,0.6985512086361343,0.6687116564417178,0.7104081129544796,0.5374264544458928
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,dining table,0.613095347214855,0.4949640287769784,0.5328555965024315,0.38858266629651317
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,toilet,0.7956083290861939,0.8156424581005587,0.856384020337998,0.7196364585965866
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,tv,0.8018405525758467,0.7587109099840581,0.8339600477262299,0.6709453036004505
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,laptop,0.7830874593789888,0.7748917748917749,0.8290420408219693,0.7193647125993275
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,mouse,0.8165827286479321,0.8113207547169812,0.8393238640043982,0.6679736908204218
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,remote,0.6773132267156171,0.6007684952325707,0.6641308151171883,0.45677202675032086
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,keyboard,0.8128934949461218,0.6535947712418301,0.798890760252049,0.6428143446914182
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,cell phone,0.6461963658763035,0.6030534351145038,0.6471248658715859,0.46485187171146614
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,microwave,0.7358999434914588,0.8363636363636363,0.8489840436423449,0.6979559214061595
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,oven,0.6908481108586012,0.5944055944055944,0.6453260123611598,0.4767473330187884
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,toaster,0.5207264013234162,0.7777777777777778,0.6841496598639454,0.5246437844109606
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,sink,0.7502291906232085,0.6088888888888889,0.6920863876235952,0.4745742914827572
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,refrigerator,0.749084136004521,0.753968253968254,0.8108160409429745,0.7017157921933156
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,book,0.559650753270388,0.2037532914415111,0.3275032305287997,0.19830833429816577
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,clock,0.7648265117436053,0.7191011235955056,0.7743635842299099,0.5522466639437769
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,vase,0.6240787863393228,0.5937727707800701,0.618412302272134,0.44904243631727664
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,scissors,0.7606072367977127,0.4444444444444444,0.516271577267953,0.43416285598346216
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,teddy bear,0.7511470543521825,0.6672389933793442,0.7584099535459192,0.6011731037978295
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,hair drier,0.2865069711061272,0.09090909090909091,0.19407648167978825,0.13671374418635507
ultralytics/ultralytics/cfg/models/v8/yolov8l-p2.yaml,train,toothbrush,0.592960852008471,0.5111877959831177,0.4593253749079856,0.3404764454399602
