Model,Split,Class,Box(P,R,mAP50,mAP50-95)
yolov8n.pt,train,all,0.947412114919586,0.9265501637180722,0.9714126628149812,0.6783278574287765
yolov8n.pt,train,head,0.9311790244673456,0.9195455101603968,0.9630272347413096,0.6688327857929122
yolov8n.pt,train,helmet,0.9636452053718264,0.9335548172757476,0.9797980908886526,0.687822929064641
yolov8n.pt,val,all,0.9477541019682284,0.9265496268460416,0.971284423679222,0.6788283728374864
yolov8n.pt,val,head,0.93194198315655,0.9203893468816252,0.9628509368969844,0.6697333231634035
yolov8n.pt,val,helmet,0.963566220779907,0.9327099068104576,0.9797179104614592,0.6879234225115691
yolov8n.pt,test,all,0.9392173762637868,0.9357046780222196,0.9702693888943316,0.682679685216361
yolov8n.pt,test,head,0.9424235400033536,0.9214876033057852,0.962054147203686,0.6793641384236564
yolov8n.pt,test,helmet,0.93601121252422,0.9499217527386542,0.9784846305849773,0.6859952320090656
yolov8m.pt,train,all,0.9418730038448004,0.9386179709616151,0.9726945238065684,0.6888884206001242
yolov8m.pt,train,head,0.926053019464073,0.9342793129200896,0.9631453970259513,0.6833608486067525
yolov8m.pt,train,helmet,0.9576929882255276,0.9429566290031406,0.9822436505871858,0.6944159925934958
yolov8m.pt,val,all,0.942663710448457,0.9389004538022374,0.9727498278123712,0.6902033408368713
yolov8m.pt,val,head,0.9272653905086348,0.9342793129200896,0.9631856837501592,0.6855819987593128
yolov8m.pt,val,helmet,0.9580620303882794,0.9435215946843852,0.9823139718745828,0.6948246829144298
yolov8m.pt,test,all,0.9475491870102548,0.941993016892978,0.974537373287449,0.6942097658557085
yolov8m.pt,test,head,0.9466549258207638,0.9288477969575782,0.967892205899312,0.692265134742463
yolov8m.pt,test,helmet,0.9484434481997458,0.9551382368283776,0.9811825406755862,0.6961543969689538
yolov8s.pt,train,all,0.93554448028063,0.9464365215381246,0.9720057035001012,0.6822709685807686
yolov8s.pt,train,head,0.9185093239418208,0.938013442867812,0.9621592450976926,0.6777479844126487
yolov8s.pt,train,helmet,0.9525796366194388,0.9548596002084374,0.9818521619025096,0.6867939527488883
yolov8s.pt,val,all,0.935332942253548,0.9465076580678295,0.9720987168158226,0.6832509446401704
yolov8s.pt,val,head,0.9179576386759244,0.9387602688573562,0.962408749006902,0.6790804328551103
yolov8s.pt,val,helmet,0.9527082458311716,0.9542550472783032,0.9817886846247432,0.6874214564252303
yolov8s.pt,test,all,0.9465341652173492,0.937110079143094,0.9728163862039696,0.693444083947574
yolov8s.pt,test,head,0.94241901275574,0.9242984055475338,0.964950538959204,0.6928451011854728
yolov8s.pt,test,helmet,0.9506493176789588,0.9499217527386542,0.9806822334487348,0.6940430667096751
yolov8l.pt,train,all,0.9442890622771348,0.938009783495874,0.9718193953747734,0.6878207455920182
yolov8l.pt,train,head,0.9318262171943846,0.9289201547760566,0.9617158255334078,0.6817071725892927
yolov8l.pt,train,helmet,0.9567519073598852,0.9470994122156912,0.981922965216139,0.6939343185947437
yolov8l.pt,val,all,0.9443528392406846,0.938022516647938,0.9722215463358768,0.6886181638141841
yolov8l.pt,val,head,0.931819012097115,0.9288148483256428,0.9625036670897582,0.6824886857294905
yolov8l.pt,val,helmet,0.9568866663842542,0.9472301849702331,0.9819394255819952,0.6947476418988776
yolov8l.pt,test,all,0.9424871737747468,0.9467444397021862,0.9744267564286024,0.697452117332335
yolov8l.pt,test,head,0.9416707843910548,0.9393939393939394,0.9666972023011204,0.6951527827538341
yolov8l.pt,test,helmet,0.9433035631584388,0.9540949400104328,0.9821563105560844,0.6997514519108362
yolov8x.pt,train,all,0.9502875368758579,0.9278418445360106,0.9707377451051339,0.6901130211269012
yolov8x.pt,train,head,0.9341683409104712,0.9219961042216457,0.960800402186078,0.6836093928856389
yolov8x.pt,train,helmet,0.9664067328412446,0.9336875848503756,0.9806750880241898,0.6966166493681636
yolov8x.pt,val,all,0.9514170676489042,0.9262352523992228,0.9702320499327319,0.6890413057268454
yolov8x.pt,val,head,0.934082087288016,0.9207045962883509,0.9604190873609357,0.681564077423067
yolov8x.pt,val,helmet,0.9687520480097923,0.9317659085100946,0.9800450125045281,0.6965185340306238
yolov8x.pt,test,all,0.943089931021426,0.9394691454961855,0.9738712616465007,0.6937147288353286
yolov8x.pt,test,head,0.937846213273009,0.9352763191613852,0.9662224031112907,0.692568080974589
yolov8x.pt,test,helmet,0.9483336487698432,0.9436619718309859,0.9815201201817108,0.6948613766960682
